ID,ProvinsiID,NamaProvinsi,BudidayaID,Budidaya,Tahun,Jumlah
223,72,Sulawesi Tengah,0,semua budidaya,2008,51211
224,73,Sulawesi Selatan,0,semua budidaya,2008,239149
225,74,Sulawesi Tenggara,0,semua budidaya,2008,37170
226,75,Gorontalo,0,semua budidaya,2008,9203
227,76,Sulawesi Barat,0,semua budidaya,2008,72374
228,81,Maluku,0,semua budidaya,2008,1308
229,82,Maluku Utara,0,semua budidaya,2008,1344
230,91,Papua Barat,0,semua budidaya,2008,2650
231,94,Papua,0,semua budidaya,2008,8698
232,11,Aceh,0,semua budidaya,2009,100575
233,12,Sumatera Utara,0,semua budidaya,2009,82270
234,13,Sumatera Barat,0,semua budidaya,2009,94181
235,14,Riau,0,semua budidaya,2009,17485
236,15,Jambi,0,semua budidaya,2009,34015
237,16,Sumatera Selatan,0,semua budidaya,2009,183144
238,17,Bengkulu,0,semua budidaya,2009,7332
239,18,Lampung,0,semua budidaya,2009,114876
240,19,Kepulauan Bangka Belitung,0,semua budidaya,2009,2888
241,21,Kepulauan Riau,0,semua budidaya,2009,12715
242,31,DKI Jakarta,0,semua budidaya,2009,1772
243,32,Jawa Barat,0,semua budidaya,2009,467091
244,33,Jawa Tengah,0,semua budidaya,2009,468738
245,34,DI Yogyakarta,0,semua budidaya,2009,81009
246,35,Jawa Timur,0,semua budidaya,2009,182030
247,36,Banten,0,semua budidaya,2009,35183
248,51,Bali,0,semua budidaya,2009,20383
249,52,Nusa Tenggara Barat,0,semua budidaya,2009,28142
250,53,Nusa Tenggara Timur,0,semua budidaya,2009,74664
251,61,Kalimantan Barat,0,semua budidaya,2009,29491
252,62,Kalimantan Tengah,0,semua budidaya,2009,38769
253,63,Kalimantan Selatan,0,semua budidaya,2009,21472
254,64,Kalimantan Timur,0,semua budidaya,2009,41592
255,71,Sulawesi Utara,0,semua budidaya,2009,16661
256,72,Sulawesi Tengah,0,semua budidaya,2009,54139
257,73,Sulawesi Selatan,0,semua budidaya,2009,177357
258,74,Sulawesi Tenggara,0,semua budidaya,2009,18104
259,75,Gorontalo,0,semua budidaya,2009,5003
260,76,Sulawesi Barat,0,semua budidaya,2009,41308
261,81,Maluku,0,semua budidaya,2009,14200
262,82,Maluku Utara,0,semua budidaya,2009,10666
263,91,Papua Barat,0,semua budidaya,2009,6927
264,94,Papua,0,semua budidaya,2009,9011
265,11,Aceh,0,semua budidaya,2010,68452
266,12,Sumatera Utara,0,semua budidaya,2010,86277
267,13,Sumatera Barat,0,semua budidaya,2010,111439
268,14,Riau,0,semua budidaya,2010,236937
269,15,Jambi,0,semua budidaya,2010,35551
270,16,Sumatera Selatan,0,semua budidaya,2010,208919
271,17,Bengkulu,0,semua budidaya,2010,11812
272,18,Lampung,0,semua budidaya,2010,91117
273,19,Kepulauan Bangka Belitung,0,semua budidaya,2010,5152
274,21,Kepulauan Riau,0,semua budidaya,2010,14554
275,31,DKI Jakarta,0,semua budidaya,2010,5716
276,32,Jawa Barat,0,semua budidaya,2010,677033
277,33,Jawa Tengah,0,semua budidaya,2010,451984
278,34,DI Yogyakarta,0,semua budidaya,2010,111021
279,35,Jawa Timur,0,semua budidaya,2010,201982
280,36,Banten,0,semua budidaya,2010,44077
281,51,Bali,0,semua budidaya,2010,28647
282,52,Nusa Tenggara Barat,0,semua budidaya,2010,35714
283,53,Nusa Tenggara Timur,0,semua budidaya,2010,105673
284,61,Kalimantan Barat,0,semua budidaya,2010,37346
285,62,Kalimantan Tengah,0,semua budidaya,2010,28306
286,63,Kalimantan Selatan,0,semua budidaya,2010,21418
287,64,Kalimantan Timur,0,semua budidaya,2010,145250
288,71,Sulawesi Utara,0,semua budidaya,2010,19064
289,72,Sulawesi Tengah,0,semua budidaya,2010,62163
290,73,Sulawesi Selatan,0,semua budidaya,2010,296395
291,74,Sulawesi Tenggara,0,semua budidaya,2010,75080
292,75,Gorontalo,0,semua budidaya,2010,10747
293,76,Sulawesi Barat,0,semua budidaya,2010,76768
294,81,Maluku,0,semua budidaya,2010,21246
295,82,Maluku Utara,0,semua budidaya,2010,9072
296,91,Papua Barat,0,semua budidaya,2010,4742
297,94,Papua,0,semua budidaya,2010,11794
298,11,Aceh,0,semua budidaya,2011,106561
299,12,Sumatera Utara,0,semua budidaya,2011,31548
300,13,Sumatera Barat,0,semua budidaya,2011,85017
301,14,Riau,0,semua budidaya,2011,36992
